model_name,direction,scope,policy,utility_mean,utility_std,utility_min,utility_max,intervention_rate_mean,intervention_rate_std,intervention_rate_min,intervention_rate_max
mistralai/Mistral-7B-Instruct-v0.3,format_to_math,math:overall,FORMAT_TUNED_SIMPLE_RULE,0.39628841812534077,0.016649599664154136,0.3810198300283286,0.4140401146131805,0.9361034615406686,0.0013793813259430833,0.9351032448377581,0.9376770538243626
mistralai/Mistral-7B-Instruct-v0.3,math_to_format,format:overall,MATH_TUNED_SIMPLE_RULE,0.4211045057083005,0.01344575338009988,0.40611353711790393,0.43209876543209874,0.7464985750862986,0.015075628460368853,0.7292576419213974,0.757201646090535
mistralai/Mistral-7B-Instruct-v0.3,pooled_to_format,format:overall,POOLED_RULE_BEST,0.446562844198126,0.012531249156033058,0.43209876543209874,0.45414847161572053,0.7464985750862986,0.015075628460368853,0.7292576419213974,0.757201646090535
mistralai/Mistral-7B-Instruct-v0.3,pooled_to_math,math:overall,POOLED_RULE_BEST,0.39534413106207356,0.01797603943568372,0.3781869688385269,0.4140401146131805,0.9361034615406686,0.0013793813259430833,0.9351032448377581,0.9376770538243626
