scope,policy,n,success_rate,utility,intervention_rate,false_intervene_rate,missed_intervene_rate,local_precision,local_recall,avg_latency_s,rate_no_intervention,rate_local_repair,rate_global_rewrite_or_restart,model_name,module,surface_name,seed
overall,NO_INTERVENTION,949,0.10853530031612224,0.10853530031612224,0.0,0.0,0.33719704952581664,0.0,0.0,2.7939877282235344,1.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,ALWAYS_LOCAL,949,0.36880927291886195,0.36880927291886195,1.0,0.7070600632244468,0.0,0.27713382507903056,1.0,3.4782524895756155,0.0,1.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,ALWAYS_REWRITE_OR_RESTART,949,0.1928345626975764,0.1928345626975764,1.0,0.8830347734457323,0.0,0.0,0.0,3.9349964093951777,0.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,MATH_TUNED_SIMPLE_RULE,949,0.39199157007376184,0.39199157007376184,0.8914646996838778,0.6080084299262382,0.0,0.3864353312302839,0.9315589353612167,3.47272772714741,0.10853530031612224,0.6680716543730242,0.22339304531085352,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,FORMAT_TUNED_SIMPLE_RULE,949,0.40147523709167543,0.40147523709167543,0.8914646996838778,0.5985247629083246,0.0,0.31198102016607354,1.0,3.3402337420724915,0.10853530031612224,0.8883034773445733,0.003161222339304531,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,POOLED_SIMPLE_2FEATURE,949,0.40147523709167543,0.40147523709167543,0.8914646996838778,0.5985247629083246,0.0,0.3108747044917258,1.0,3.3515568049133875,0.10853530031612224,0.8914646996838778,0.0,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,POOLED_SIMPLE_3FEATURE,949,0.40147523709167543,0.40147523709167543,0.8914646996838778,0.5985247629083246,0.0,0.31198102016607354,1.0,3.3402337420724915,0.10853530031612224,0.8883034773445733,0.003161222339304531,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,POOLED_SIMPLE_THRESHOLDED_TREE,949,0.39199157007376184,0.39199157007376184,0.8914646996838778,0.6080084299262382,0.0,0.3951612903225806,0.9315589353612167,3.4494394911472757,0.10853530031612224,0.6533192834562698,0.23814541622760801,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,POOLED_RULE_BEST,949,0.39199157007376184,0.39199157007376184,0.8914646996838778,0.6080084299262382,0.0,0.3951612903225806,0.9315589353612167,3.4494394911472757,0.10853530031612224,0.6533192834562698,0.23814541622760801,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,POOLED_LEARNED_GATE,949,0.36143308746048475,0.36143308746048475,0.8872497365648051,0.6343519494204426,0.0,0.5507246376811594,0.7224334600760456,3.380317410105767,0.11275026343519494,0.3635405690200211,0.523709167544784,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,MATH_DOMAIN_LEARNED_GATE,949,0.3698630136986301,0.3698630136986301,0.9515279241306639,0.6870389884088515,0.0,0.4696629213483146,0.7946768060836502,3.646129261777374,0.04847207586933614,0.46891464699683877,0.48261327713382507,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,FORMAT_DOMAIN_LEARNED_GATE,949,0.25922023182297155,0.25922023182297155,0.9188619599578504,0.7386722866174921,0.0,0.2340966921119593,0.34980988593155893,3.7544376441901717,0.08113804004214963,0.41412012644889357,0.5047418335089568,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
overall,ORACLE_POLICY,949,0.4457323498419389,0.4457323498419389,0.8914646996838778,0.5542676501580611,0.0,0.9460431654676259,1.0,3.606370442948776,0.10853530031612224,0.2929399367755532,0.5985247629083246,mistralai/Mistral-7B-Instruct-v0.3,pooled,overall,13
format:overall,NO_INTERVENTION,243,0.24279835390946503,0.24279835390946503,0.0,0.0,0.24279835390946503,0.0,0.0,4.647047745280443,1.0,0.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,format,overall,13
format:overall,ALWAYS_LOCAL,243,0.39094650205761317,0.39094650205761317,1.0,0.7818930041152263,0.0,0.16872427983539096,1.0,6.5486731099294415,0.0,1.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,format,overall,13
format:overall,ALWAYS_REWRITE_OR_RESTART,243,0.3374485596707819,0.3374485596707819,1.0,0.9053497942386831,0.0,0.0,0.0,4.478219759853657,0.0,0.0,1.0,mistralai/Mistral-7B-Instruct-v0.3,format,overall,13
