model_name,scope,module,surface_name,policy,n_mean,n_std,n_min,n_max,success_rate_mean,success_rate_std,success_rate_min,success_rate_max,utility_mean,utility_std,utility_min,utility_max,intervention_rate_mean,intervention_rate_std,intervention_rate_min,intervention_rate_max,false_intervene_rate_mean,false_intervene_rate_std,false_intervene_rate_min,false_intervene_rate_max,missed_intervene_rate_mean,missed_intervene_rate_std,missed_intervene_rate_min,missed_intervene_rate_max,avg_latency_s_mean,avg_latency_s_std,avg_latency_s_min,avg_latency_s_max
Qwen/Qwen2.5-14B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,542.0,15.874507866387544,524,554,0.7146183772690239,0.009764443189519795,0.7043795620437956,0.723826714801444,0.7146183772690239,0.009764443189519795,0.7043795620437956,0.723826714801444,1.0,0.0,1.0,1.0,0.5590814530308758,0.0027392825267490545,0.555956678700361,0.5610687022900763,0.0,0.0,0.0,0.0,6.3265071374209,0.03374742894292628,6.29944709954121,6.364320993016433
Qwen/Qwen2.5-14B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,MATH_TUNED_SIMPLE_RULE,542.0,15.874507866387544,524,554,0.8238000652677221,0.01795017777030496,0.8083941605839416,0.8435114503816794,0.8238000652677221,0.01795017777030496,0.8083941605839416,0.8435114503816794,0.6886748600656419,0.0068909807936894845,0.6812977099236641,0.6949458483754513,0.17619993473227794,0.01795017777030499,0.15648854961832062,0.19160583941605838,0.0,0.0,0.0,0.0,6.1412766914069445,0.022778926301749977,6.116286969324744,6.160878930737634
Qwen/Qwen2.5-14B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,NO_INTERVENTION,542.0,15.874507866387544,524,554,0.3113251399343581,0.006890980793689466,0.30505415162454874,0.3187022900763359,0.3113251399343581,0.006890980793689466,0.30505415162454874,0.3187022900763359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5848790833981887,0.0024225835626068095,0.5821167883211679,0.5866425992779783,5.24303514501658,0.04816298940051959,5.1978347204324695,5.293695377997449
Qwen/Qwen2.5-14B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,POOLED_RULE_BEST,542.0,15.874507866387544,524,554,0.818897928966806,0.01885504475791608,0.8029197080291971,0.8396946564885496,0.818897928966806,0.01885504475791608,0.8029197080291971,0.8396946564885496,0.6886748600656419,0.0068909807936894845,0.6812977099236641,0.6949458483754513,0.18110207103319395,0.01885504475791612,0.16030534351145037,0.19708029197080293,0.0,0.0,0.0,0.0,6.1477767982183025,0.01738210496202126,6.129104899667394,6.163489088630268
Qwen/Qwen2.5-14B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,165.66666666666666,5.5075705472861065,162,172,0.730457812324777,0.003926896586313775,0.7267441860465116,0.7345679012345679,0.730457812324777,0.003926896586313775,0.7267441860465116,0.7345679012345679,1.0,0.0,1.0,1.0,0.6094759412794954,0.026490937817510586,0.5802469135802469,0.6319018404907976,0.0,0.0,0.0,0.0,6.314402688470737,0.062124397501608794,6.2558715380728245,6.37958509941229
Qwen/Qwen2.5-14B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,MATH_TUNED_SIMPLE_RULE,165.66666666666666,5.5075705472861065,162,172,0.8310270686659774,0.031634286151281235,0.8024691358024691,0.8650306748466258,0.8310270686659774,0.031634286151281235,0.8024691358024691,0.8650306748466258,0.6380811384774544,0.030951905229000647,0.6134969325153374,0.6728395061728395,0.1689729313340226,0.03163428615128122,0.13496932515337423,0.19753086419753085,0.0,0.0,0.0,0.0,5.845943022091201,0.05440959855873728,5.783678393228911,5.884337664647948
Qwen/Qwen2.5-14B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,NO_INTERVENTION,165.66666666666666,5.5075705472861065,162,172,0.36191886152254565,0.030951905229000685,0.3271604938271605,0.38650306748466257,0.36191886152254565,0.030951905229000685,0.3271604938271605,0.38650306748466257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5216677616726759,0.0250458203389241,0.4941860465116279,0.5432098765432098,5.115672554768555,0.06068955686732325,5.048919961756336,5.1675229089599926
Qwen/Qwen2.5-14B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,POOLED_RULE_BEST,165.66666666666666,5.5075705472861065,162,172,0.8310270686659774,0.031634286151281235,0.8024691358024691,0.8650306748466258,0.8310270686659774,0.031634286151281235,0.8024691358024691,0.8650306748466258,0.6380811384774544,0.030951905229000647,0.6134969325153374,0.6728395061728395,0.1689729313340226,0.03163428615128122,0.13496932515337423,0.19753086419753085,0.0,0.0,0.0,0.0,5.866836312555264,0.035318470063752085,5.831950797499049,5.902572373696746
Qwen/Qwen2.5-14B-Instruct,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,707.6666666666666,20.207259421636913,686,726,0.718300584555487,0.007296844018519231,0.710267229254571,0.7245179063360881,0.718300584555487,0.007296844018519231,0.710267229254571,0.7245179063360881,1.0,0.0,1.0,1.0,0.5708327344972797,0.005550620423072764,0.565597667638484,0.5766526019690577,0.0,0.0,0.0,0.0,6.3239000909219785,0.019945552054865628,6.301414516183597,6.339458459745254
Qwen/Qwen2.5-14B-Instruct,math:overall,math,overall,MATH_TUNED_SIMPLE_RULE,707.6666666666666,20.207259421636913,686,726,0.8253780738222156,0.007313601365311939,0.8209366391184573,0.8338192419825073,0.8253780738222156,0.007313601365311939,0.8209366391184573,0.8338192419825073,0.6768853993789997,0.003979291727385265,0.6722925457102672,0.6793002915451894,0.1746219261777844,0.007313601365311888,0.1661807580174927,0.1790633608815427,0.0,0.0,0.0,0.0,6.072007499107943,0.02041335980560699,6.059781687142938,6.095573267317038
Qwen/Qwen2.5-14B-Instruct,math:overall,math,overall,NO_INTERVENTION,707.6666666666666,20.207259421636913,686,726,0.32311460062100017,0.003979291727385238,0.3206997084548105,0.32770745428973275,0.32311460062100017,0.003979291727385238,0.3206997084548105,0.32770745428973275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700534314822377,0.005544434527325054,0.5647382920110193,0.575801749271137,5.213513297160884,0.023486288704401313,5.190653409725491,5.2375794949492045
Qwen/Qwen2.5-14B-Instruct,math:overall,math,overall,POOLED_RULE_BEST,707.6666666666666,20.207259421636913,686,726,0.821622376294648,0.008039894476918058,0.8168044077134986,0.8309037900874635,0.821622376294648,0.008039894476918058,0.8168044077134986,0.8309037900874635,0.6768853993789997,0.003979291727385265,0.6722925457102672,0.6793002915451894,0.17837762370535204,0.008039894476918096,0.16909620991253643,0.18319559228650137,0.0,0.0,0.0,0.0,6.081871975277193,0.009887787924813846,6.07521144117321,6.093233202055976
