model_name,scope,module,surface_name,policy,n_mean,n_std,n_min,n_max,success_rate_mean,success_rate_std,success_rate_min,success_rate_max,utility_mean,utility_std,utility_min,utility_max,intervention_rate_mean,intervention_rate_std,intervention_rate_min,intervention_rate_max,false_intervene_rate_mean,false_intervene_rate_std,false_intervene_rate_min,false_intervene_rate_max,missed_intervene_rate_mean,missed_intervene_rate_std,missed_intervene_rate_min,missed_intervene_rate_max,avg_latency_s_mean,avg_latency_s_std,avg_latency_s_min,avg_latency_s_max
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,105.0,2.6457513110645907,102,107,0.3716465955100079,0.022498435842916654,0.34579439252336447,0.3867924528301887,0.3716465955100079,0.022498435842916654,0.34579439252336447,0.3867924528301887,1.0,0.0,1.0,1.0,0.9176108696579202,0.01877212584677523,0.8962264150943396,0.9313725490196079,0.0,0.0,0.0,0.0,8.245372003579684,0.38614144393374417,7.861402373730475,8.633649220900136
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,FORMAT_TUNED_SIMPLE_RULE,105.0,2.6457513110645907,102,107,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.7107425348320718,0.022021766297267983,0.6862745098039216,0.7289719626168224,0.5834886355647296,0.03838617817773468,0.5392156862745098,0.6074766355140186,0.0,0.0,0.0,0.0,10.156427851772028,0.4656504141228656,9.820943923105668,10.68806294379208
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,NO_INTERVENTION,105.0,2.6457513110645907,102,107,0.2892574651679281,0.02202176629726803,0.27102803738317754,0.3137254901960784,0.2892574651679281,0.02202176629726803,0.27102803738317754,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18118267115227915,0.014027768041651047,0.16822429906542055,0.19607843137254902,8.341241495398522,0.4957797707113315,7.854776998006991,8.84583900695411
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,POOLED_RULE_BEST,105.0,2.6457513110645907,102,107,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.7107425348320718,0.022021766297267983,0.6862745098039216,0.7289719626168224,0.5834886355647296,0.03838617817773468,0.5392156862745098,0.6074766355140186,0.0,0.0,0.0,0.0,10.156427851772028,0.4656504141228656,9.820943923105668,10.68806294379208
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,126.33333333333333,9.018499505645789,117,135,0.7000037388488831,0.022737263244450797,0.674074074074074,0.7165354330708661,0.7000037388488831,0.022737263244450797,0.674074074074074,0.7165354330708661,1.0,0.0,1.0,1.0,0.9624619572126134,0.02204478441253237,0.9401709401709402,0.984251968503937,0.0,0.0,0.0,0.0,8.934923531733563,0.23432270309126063,8.742256420114495,9.195776591734148
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,FORMAT_TUNED_SIMPLE_RULE,126.33333333333333,9.018499505645789,117,135,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.3375343039385034,0.03377425395915053,0.2992125984251969,0.362962962962963,0.1679042256470078,0.02046909234052116,0.1452991452991453,0.18518518518518517,0.0,0.0,0.0,0.0,10.503421126591713,0.3502124720481875,10.111685775022396,10.786215992174787
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,NO_INTERVENTION,126.33333333333333,9.018499505645789,117,135,0.6624656960614966,0.03377425395915045,0.6370370370370371,0.7007874015748031,0.6624656960614966,0.03377425395915045,0.6370370370370371,0.7007874015748031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18289102751045008,0.044973741091364136,0.13385826771653545,0.2222222222222222,8.889576544411993,0.24572850183659548,8.695179743442948,9.165771898626485
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,126.33333333333333,9.018499505645789,117,135,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.3375343039385034,0.03377425395915053,0.2992125984251969,0.362962962962963,0.1679042256470078,0.02046909234052116,0.1452991452991453,0.18518518518518517,0.0,0.0,0.0,0.0,10.503421126591713,0.3502124720481875,10.111685775022396,10.786215992174787
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,231.33333333333334,6.658328118479392,224,237,0.5502536992051851,0.015477386540583294,0.5357142857142857,0.5665236051502146,0.5502536992051851,0.015477386540583294,0.5357142857142857,0.5665236051502146,1.0,0.0,1.0,1.0,0.942202937159,0.008347914000494658,0.9330357142857143,0.9493670886075949,0.0,0.0,0.0,0.0,8.61301400610938,0.13467413551349622,8.514246323871399,8.766421072929704
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,FORMAT_TUNED_SIMPLE_RULE,231.33333333333334,6.658328118479392,224,237,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.5075433636358149,0.021510822389278237,0.4892703862660944,0.53125,0.35757429454460476,0.017405114711951563,0.33755274261603374,0.36909871244635195,0.0,0.0,0.0,0.0,10.337624176502194,0.30126326522085367,10.042804387983638,10.644941932340997
