model_name,scope,module,surface_name,base_policy,alt_policy,n_mean,n_std,n_min,n_max,base_accuracy_mean,base_accuracy_std,base_accuracy_min,base_accuracy_max,alt_accuracy_mean,alt_accuracy_std,alt_accuracy_min,alt_accuracy_max,delta_mean,delta_std,delta_min,delta_max,mcnemar_p_mean,mcnemar_p_std,mcnemar_p_min,mcnemar_p_max
Qwen/Qwen2.5-7B-Instruct,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,130.33333333333334,4.163331998932268,127,135,0.7879242484870269,0.029698741371040314,0.7596899224806202,0.8188976377952756,0.7695922376627986,0.016719175342523852,0.751937984496124,0.7851851851851852,-0.018383364870088913,0.025255860168701988,-0.04718110236220473,0.0,0.6770833333333334,0.5593080732774499,0.03125,1.0
Qwen/Qwen2.5-7B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,237.0,10.14889156509222,228,248,0.5304114639148776,0.012499506292906973,0.5191489361702127,0.543859649122807,0.6501290402854539,0.023227583346643967,0.6297872340425532,0.6754385964912281,0.11977531979112732,0.009743306148192195,0.11154893617021278,0.13053508771929825,8.454703978107622e-06,1.3759601926438461e-05,4.176981747150421e-07,2.4342560209333897e-05
Qwen/Qwen2.5-7B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,237.0,10.14889156509222,228,248,0.5304114639148776,0.012499506292906973,0.5191489361702127,0.543859649122807,0.614771098989753,0.005157373827223341,0.6088709677419355,0.618421052631579,0.08442134422650083,0.012720018782844423,0.0740701754385965,0.09862127659574468,0.00035489490255713463,0.0004813092410804474,6.618769839406013e-05,0.0009105205535888672
Qwen/Qwen2.5-7B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,237.0,10.14889156509222,228,248,0.5304114639148776,0.012499506292906973,0.5191489361702127,0.543859649122807,0.5405019927994317,0.01467233920791714,0.5241935483870968,0.5526315789473685,0.009719238240877878,0.01493600736164677,-0.00413709677419355,0.0255404255319149,0.6444905598958334,0.42101908029410307,0.1795654296875,1.0
Qwen/Qwen2.5-7B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,237.0,10.14889156509222,228,248,0.5304114639148776,0.012499506292906973,0.5191489361702127,0.543859649122807,0.6380322660919057,0.0340411179964326,0.6088709677419355,0.6754385964912281,0.10750381441478325,0.02529756637984871,0.08042741935483871,0.13053508771929825,2.0276136638130993e-05,1.7987181182758557e-05,6.038535502739251e-07,3.5881996154785156e-05
Qwen/Qwen2.5-7B-Instruct,format:overall,format,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,237.0,10.14889156509222,228,248,0.6380322660919057,0.0340411179964326,0.6088709677419355,0.6754385964912281,0.6501290402854539,0.023227583346643967,0.6297872340425532,0.6754385964912281,0.012271505376344081,0.021254870797182582,0.0,0.03681451612903224,0.6705729166666666,0.5705844457225598,0.01171875,1.0
Qwen/Qwen2.5-7B-Instruct,format:overall,format,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,237.0,10.14889156509222,228,248,0.6380322660919057,0.0340411179964326,0.6088709677419355,0.6754385964912281,0.614771098989753,0.005157373827223341,0.6088709677419355,0.618421052631579,-0.02308247018828242,0.029639757782091002,-0.05646491228070175,0.00014516129032258096,0.4584147135416667,0.5050707429807134,0.000244140625,1.0
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,541.0,26.664583251946766,511,562,0.4789059540534215,0.013884347852022463,0.4637964774951076,0.49110320284697506,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,0.2838116191548259,0.03645027948091964,0.2465338078291815,0.3193737769080235,1.2791440264866558e-23,2.2155396865320523e-23,1.1217262542994799e-30,3.837428895325244e-23
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,541.0,26.664583251946766,511,562,0.4789059540534215,0.013884347852022463,0.4637964774951076,0.49110320284697506,0.7628285853148135,0.022503909237699037,0.7384341637010676,0.7827788649706457,0.2844274989041898,0.03555411442328933,0.2482740213523132,0.3193502935420744,4.274483738545564e-24,7.403610158963357e-24,5.112049710529943e-31,1.2823436375046926e-23
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,541.0,26.664583251946766,511,562,0.4789059540534215,0.013884347852022463,0.4637964774951076,0.49110320284697506,0.7644507305366273,0.013294902833526441,0.7526690391459074,0.7788649706457925,0.2856758634108705,0.026579479051048346,0.26228469750889677,0.31457925636007833,2.1595489326005615e-34,3.627047561509165e-34,4.971259421386103e-36,6.347663071146424e-34
