model_name,module,domain_policy,pooled_policy,domain_utility_mean,domain_utility_std,domain_utility_min,domain_utility_max,pooled_utility_mean,pooled_utility_std,pooled_utility_min,pooled_utility_max,utility_gap_mean,utility_gap_std,utility_gap_min,utility_gap_max
Qwen/Qwen2.5-7B-Instruct,format,FORMAT_TUNED_SIMPLE_RULE,POOLED_RULE_BEST,0.6501290402854539,0.023227583346643967,0.6297872340425532,0.6754385964912281,0.6380322660919057,0.0340411179964326,0.6088709677419355,0.6754385964912281,-0.012096774193548376,0.02095222751091382,-0.03629032258064513,0.0
Qwen/Qwen2.5-7B-Instruct,math,MATH_TUNED_SIMPLE_RULE,POOLED_RULE_BEST,0.7691452098659619,0.020249084028798905,0.7472527472527473,0.7872023809523809,0.7681913026620547,0.02034483737272952,0.7458791208791209,0.7857142857142857,-0.0009539072039072005,0.0008280881568303811,-0.0014880952380952328,0.0
mistralai/Mistral-7B-Instruct-v0.3,format,FORMAT_TUNED_SIMPLE_RULE,POOLED_RULE_BEST,0.45616503898550603,0.00412042891222987,0.4534412955465587,0.4609053497942387,0.446562844198126,0.012531249156033058,0.43209876543209874,0.45414847161572053,-0.009602194787379984,0.016631489235915165,-0.028806584362139953,0.0
mistralai/Mistral-7B-Instruct-v0.3,math,MATH_TUNED_SIMPLE_RULE,POOLED_RULE_BEST,0.3987433641567703,0.020092836798338017,0.3781869688385269,0.4183381088825215,0.39534413106207356,0.01797603943568372,0.3781869688385269,0.4140401146131805,-0.0033992330946967333,0.003050812769091251,-0.005899705014749235,0.0
Qwen/Qwen2.5-14B-Instruct,format,FORMAT_TUNED_SIMPLE_RULE,POOLED_RULE_BEST,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-14B-Instruct,math,MATH_TUNED_SIMPLE_RULE,POOLED_RULE_BEST,0.8253780738222156,0.007313601365311939,0.8209366391184573,0.8338192419825073,0.821622376294648,0.008039894476918058,0.8168044077134986,0.8309037900874635,-0.0037556975275676216,0.0007289784206842934,-0.00421940928270037,-0.00291545189504383
