model_name,scope,module,surface_name,base_policy,alt_policy,n_mean,n_std,n_min,n_max,base_accuracy_mean,base_accuracy_std,base_accuracy_min,base_accuracy_max,alt_accuracy_mean,alt_accuracy_std,alt_accuracy_min,alt_accuracy_max,delta_mean,delta_std,delta_min,delta_max,mcnemar_p_mean,mcnemar_p_std,mcnemar_p_min,mcnemar_p_max
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,105.0,2.6457513110645907,102,107,0.3716465955100079,0.022498435842916654,0.34579439252336447,0.3867924528301887,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.04344269376474507,0.036293470769273715,0.005830188679245286,0.07825490196078431,0.46600341796875,0.4737323892271755,0.09625244140625,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,105.0,2.6457513110645907,102,107,0.3716465955100079,0.022498435842916654,0.34579439252336447,0.3867924528301887,0.38453639258560063,0.024443018581723788,0.3644859813084112,0.4117647058823529,0.011857150760145355,0.022293424415916162,-0.013207547169811323,0.029470588235294113,0.7584635416666666,0.22727136322536923,0.548828125,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,105.0,2.6457513110645907,102,107,0.3716465955100079,0.022498435842916654,0.34579439252336447,0.3867924528301887,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.04344269376474507,0.036293470769273715,0.005830188679245286,0.07825490196078431,0.46600341796875,0.4737323892271755,0.09625244140625,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,105.0,2.6457513110645907,102,107,0.3716465955100079,0.022498435842916654,0.34579439252336447,0.3867924528301887,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.04344269376474507,0.036293470769273715,0.005830188679245286,0.07825490196078431,0.46600341796875,0.4737323892271755,0.09625244140625,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,105.0,2.6457513110645907,102,107,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifbench,format,ifbench,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,105.0,2.6457513110645907,102,107,0.4165113644352704,0.0383861781777347,0.3925233644859813,0.46078431372549017,0.38453639258560063,0.024443018581723788,0.3644859813084112,0.4117647058823529,-0.03158554300459971,0.015409033727146023,-0.04878431372549019,-0.019037735849056606,0.421875,0.28254908312539256,0.125,0.6875
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,126.33333333333333,9.018499505645789,117,135,0.7000037388488831,0.022737263244450797,0.674074074074074,0.7165354330708661,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.13076968242217585,0.01804143441517812,0.11015748031496063,0.14369230769230767,0.00026869773864746094,0.00023007714066709524,6.604194641113281e-05,0.000518798828125
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,126.33333333333333,9.018499505645789,117,135,0.7000037388488831,0.022737263244450797,0.674074074074074,0.7165354330708661,0.7314998018410092,0.07109879703346444,0.674074074074074,0.8110236220472441,0.03128608923884514,0.05418909613181369,0.0,0.09385826771653542,0.6672770182291666,0.5762931092728968,0.0018310546875,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,126.33333333333333,9.018499505645789,117,135,0.7000037388488831,0.022737263244450797,0.674074074074074,0.7165354330708661,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.13076968242217585,0.01804143441517812,0.11015748031496063,0.14369230769230767,0.00026869773864746094,0.00023007714066709524,6.604194641113281e-05,0.000518798828125
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,126.33333333333333,9.018499505645789,117,135,0.7000037388488831,0.022737263244450797,0.674074074074074,0.7165354330708661,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.13076968242217585,0.01804143441517812,0.11015748031496063,0.14369230769230767,0.00026869773864746094,0.00023007714066709524,6.604194641113281e-05,0.000518798828125
