scope,policy,n,success_rate,utility,intervention_rate,false_intervene_rate,missed_intervene_rate,local_precision,local_recall,avg_latency_s,rate_no_intervention,rate_local_repair,rate_global_rewrite_or_restart,model_name,module,surface_name,seed
format:overall,MATH_TUNED_SIMPLE_RULE,248,0.6088709677419355,0.6088709677419355,0.5201612903225806,0.3911290322580645,0.0,0.27472527472527475,0.7142857142857143,3.416911096858507,0.4798387096774194,0.36693548387096775,0.1532258064516129,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,FORMAT_TUNED_SIMPLE_RULE,248,0.6451612903225806,0.6451612903225806,0.5201612903225806,0.3548387096774194,0.0,0.2713178294573643,1.0,3.502121117782794,0.4798387096774194,0.5201612903225806,0.0,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,POOLED_SIMPLE_2FEATURE,248,0.6451612903225806,0.6451612903225806,0.5201612903225806,0.3548387096774194,0.0,0.2713178294573643,1.0,3.502121117782794,0.4798387096774194,0.5201612903225806,0.0,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,POOLED_SIMPLE_3FEATURE,248,0.6451612903225806,0.6451612903225806,0.5201612903225806,0.3548387096774194,0.0,0.2713178294573643,1.0,3.502121117782794,0.4798387096774194,0.5201612903225806,0.0,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,POOLED_SIMPLE_THRESHOLDED_TREE,248,0.6088709677419355,0.6088709677419355,0.5201612903225806,0.3911290322580645,0.0,0.3037974683544304,0.6857142857142857,3.356456529634494,0.4798387096774194,0.3185483870967742,0.20161290322580644,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,POOLED_RULE_BEST,248,0.6088709677419355,0.6088709677419355,0.5201612903225806,0.3911290322580645,0.0,0.3037974683544304,0.6857142857142857,3.356456529634494,0.4798387096774194,0.3185483870967742,0.20161290322580644,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,POOLED_LEARNED_GATE,248,0.5241935483870968,0.5241935483870968,0.5201612903225806,0.47580645161290325,0.0,0.08108108108108109,0.08571428571428572,3.4234779168900493,0.4798387096774194,0.14919354838709678,0.3709677419354839,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,MATH_DOMAIN_LEARNED_GATE,248,0.5241935483870968,0.5241935483870968,0.5201612903225806,0.47580645161290325,0.0,0.06451612903225806,0.05714285714285714,3.3993767195009448,0.4798387096774194,0.125,0.3951612903225806,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,FORMAT_DOMAIN_LEARNED_GATE,248,0.6088709677419355,0.6088709677419355,0.4717741935483871,0.34274193548387094,0.008064516129032258,0.38333333333333336,0.6571428571428571,3.2257778472473633,0.5282258064516129,0.24193548387096775,0.22983870967741934,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,ORACLE_POLICY,248,0.657258064516129,0.657258064516129,0.5201612903225806,0.34274193548387094,0.0,0.8536585365853658,1.0,3.1893240368451865,0.4798387096774194,0.16532258064516128,0.3548387096774194,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:ifbench,NO_INTERVENTION,113,0.22123893805309736,0.22123893805309736,0.0,0.0,0.24778761061946902,0.0,0.0,2.9441386043399045,1.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,ALWAYS_LOCAL,113,0.39823008849557523,0.39823008849557523,1.0,0.7699115044247787,0.0,0.19469026548672566,1.0,3.437650169765132,0.0,1.0,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,ALWAYS_REWRITE_OR_RESTART,113,0.2743362831858407,0.2743362831858407,1.0,0.9469026548672567,0.0,0.0,0.0,2.900243488503043,0.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,MATH_TUNED_SIMPLE_RULE,113,0.39823008849557523,0.39823008849557523,0.7787610619469026,0.6017699115044248,0.0,0.27586206896551724,0.7272727272727273,3.0785204848126235,0.22123893805309736,0.5132743362831859,0.26548672566371684,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,FORMAT_TUNED_SIMPLE_RULE,113,0.45132743362831856,0.45132743362831856,0.7787610619469026,0.5486725663716814,0.0,0.25,1.0,3.250602595734748,0.22123893805309736,0.7787610619469026,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,POOLED_SIMPLE_2FEATURE,113,0.45132743362831856,0.45132743362831856,0.7787610619469026,0.5486725663716814,0.0,0.25,1.0,3.250602595734748,0.22123893805309736,0.7787610619469026,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,POOLED_SIMPLE_3FEATURE,113,0.45132743362831856,0.45132743362831856,0.7787610619469026,0.5486725663716814,0.0,0.25,1.0,3.250602595734748,0.22123893805309736,0.7787610619469026,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,POOLED_SIMPLE_THRESHOLDED_TREE,113,0.39823008849557523,0.39823008849557523,0.7787610619469026,0.6017699115044248,0.0,0.32608695652173914,0.6818181818181818,2.94584143462187,0.22123893805309736,0.40707964601769914,0.37168141592920356,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,POOLED_RULE_BEST,113,0.39823008849557523,0.39823008849557523,0.7787610619469026,0.6017699115044248,0.0,0.32608695652173914,0.6818181818181818,2.94584143462187,0.22123893805309736,0.40707964601769914,0.37168141592920356,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,POOLED_LEARNED_GATE,113,0.26548672566371684,0.26548672566371684,0.7787610619469026,0.7345132743362832,0.0,0.058823529411764705,0.045454545454545456,3.0640775244312146,0.22123893805309736,0.1504424778761062,0.6283185840707964,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,MATH_DOMAIN_LEARNED_GATE,113,0.26548672566371684,0.26548672566371684,0.7787610619469026,0.7345132743362832,0.0,0.058823529411764705,0.045454545454545456,3.0640775244312146,0.22123893805309736,0.1504424778761062,0.6283185840707964,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,FORMAT_DOMAIN_LEARNED_GATE,113,0.39823008849557523,0.39823008849557523,0.672566371681416,0.49557522123893805,0.017699115044247787,0.36585365853658536,0.6818181818181818,2.9261858327668655,0.3274336283185841,0.36283185840707965,0.30973451327433627,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifbench,ORACLE_POLICY,113,0.4690265486725664,0.4690265486725664,0.7787610619469026,0.5309734513274337,0.0,0.8461538461538461,1.0,2.963456882378169,0.22123893805309736,0.23008849557522124,0.5486725663716814,Qwen/Qwen2.5-7B-Instruct,format,ifbench,13
format:ifeval_screened,NO_INTERVENTION,135,0.6962962962962963,0.6962962962962963,0.0,0.0,0.11851851851851852,0.0,0.0,3.452470428113722,1.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,ALWAYS_LOCAL,135,0.7111111111111111,0.7111111111111111,1.0,0.8888888888888888,0.0,0.0962962962962963,1.0,4.048750707886561,0.0,1.0,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,ALWAYS_REWRITE_OR_RESTART,135,0.7407407407407407,0.7407407407407407,1.0,0.9555555555555556,0.0,0.0,0.0,3.4564254515045496,0.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,MATH_TUNED_SIMPLE_RULE,135,0.7851851851851852,0.7851851851851852,0.3037037037037037,0.21481481481481482,0.0,0.2727272727272727,0.6923076923076923,3.700156572126542,0.6962962962962963,0.24444444444444444,0.05925925925925926,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,FORMAT_TUNED_SIMPLE_RULE,135,0.8074074074074075,0.8074074074074075,0.3037037037037037,0.1925925925925926,0.0,0.3170731707317073,1.0,3.712651436237825,0.6962962962962963,0.3037037037037037,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,POOLED_SIMPLE_2FEATURE,135,0.8074074074074075,0.8074074074074075,0.3037037037037037,0.1925925925925926,0.0,0.3170731707317073,1.0,3.712651436237825,0.6962962962962963,0.3037037037037037,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,POOLED_SIMPLE_3FEATURE,135,0.8074074074074075,0.8074074074074075,0.3037037037037037,0.1925925925925926,0.0,0.3170731707317073,1.0,3.712651436237825,0.6962962962962963,0.3037037037037037,0.0,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,POOLED_SIMPLE_THRESHOLDED_TREE,135,0.7851851851851852,0.7851851851851852,0.3037037037037037,0.21481481481481482,0.0,0.2727272727272727,0.6923076923076923,3.700156572126542,0.6962962962962963,0.24444444444444444,0.05925925925925926,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,POOLED_RULE_BEST,135,0.7851851851851852,0.7851851851851852,0.3037037037037037,0.21481481481481482,0.0,0.2727272727272727,0.6923076923076923,3.700156572126542,0.6962962962962963,0.24444444444444444,0.05925925925925926,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,POOLED_LEARNED_GATE,135,0.7407407407407407,0.7407407407407407,0.3037037037037037,0.25925925925925924,0.0,0.1,0.15384615384615385,3.7243093565037406,0.6962962962962963,0.14814814814814814,0.15555555555555556,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,MATH_DOMAIN_LEARNED_GATE,135,0.7407407407407407,0.7407407407407407,0.3037037037037037,0.25925925925925924,0.0,0.07142857142857142,0.07692307692307693,3.680034564263015,0.6962962962962963,0.1037037037037037,0.2,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,FORMAT_DOMAIN_LEARNED_GATE,135,0.7851851851851852,0.7851851851851852,0.3037037037037037,0.21481481481481482,0.0,0.42105263157894735,0.6153846153846154,3.4765474593680765,0.6962962962962963,0.14074074074074075,0.16296296296296298,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
format:ifeval_screened,ORACLE_POLICY,135,0.8148148148148148,0.8148148148148148,0.3037037037037037,0.18518518518518517,0.0,0.8666666666666667,1.0,3.3783832105842455,0.6962962962962963,0.1111111111111111,0.1925925925925926,Qwen/Qwen2.5-7B-Instruct,format,ifeval_screened,13
math:overall,NO_INTERVENTION,718,0.3050139275766017,0.3050139275766017,0.0,0.0,0.5181058495821727,0.0,0.0,1.407413752169107,1.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,ALWAYS_LOCAL,718,0.7353760445682451,0.7353760445682451,1.0,0.5334261838440112,0.0,0.4387186629526462,1.0,1.555645121810802,0.0,1.0,0.0,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,ALWAYS_REWRITE_OR_RESTART,718,0.48885793871866295,0.48885793871866295,1.0,0.7186629526462396,0.0,0.0,0.0,2.124950388390675,0.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,MATH_TUNED_SIMPLE_RULE,718,0.7729805013927576,0.7729805013927576,0.6949860724233984,0.22701949860724233,0.0,0.6702355460385439,0.9936507936507937,1.4886956868477912,0.3050139275766017,0.6504178272980501,0.04456824512534819,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,FORMAT_TUNED_SIMPLE_RULE,718,0.7715877437325905,0.7715877437325905,0.6949860724233984,0.22841225626740946,0.0,0.6312625250501002,1.0,1.4674622649527973,0.3050139275766017,0.6949860724233984,0.0,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,POOLED_SIMPLE_2FEATURE,718,0.7632311977715878,0.7632311977715878,0.6949860724233984,0.23676880222841226,0.0,0.7095959595959596,0.8920634920634921,1.5388045773561265,0.3050139275766017,0.5515320334261838,0.14345403899721448,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,POOLED_SIMPLE_3FEATURE,718,0.7632311977715878,0.7632311977715878,0.6949860724233984,0.23676880222841226,0.0,0.7095959595959596,0.8920634920634921,1.5388045773561265,0.3050139275766017,0.5515320334261838,0.14345403899721448,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,POOLED_SIMPLE_THRESHOLDED_TREE,718,0.7729805013927576,0.7729805013927576,0.6949860724233984,0.22701949860724233,0.0,0.6702355460385439,0.9936507936507937,1.4886956868477912,0.3050139275766017,0.6504178272980501,0.04456824512534819,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,POOLED_RULE_BEST,718,0.7729805013927576,0.7729805013927576,0.6949860724233984,0.22701949860724233,0.0,0.6702355460385439,0.9936507936507937,1.4886956868477912,0.3050139275766017,0.6504178272980501,0.04456824512534819,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,POOLED_LEARNED_GATE,718,0.7618384401114207,0.7618384401114207,0.6894150417827298,0.23259052924791088,0.001392757660167131,0.7681564245810056,0.873015873015873,1.5737537645201736,0.31058495821727017,0.4986072423398329,0.19080779944289694,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,MATH_DOMAIN_LEARNED_GATE,718,0.7604456824512534,0.7604456824512534,0.6713091922005571,0.21587743732590528,0.006963788300835654,0.7902298850574713,0.873015873015873,1.5707191509839333,0.3286908077994429,0.48467966573816157,0.18662952646239556,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,FORMAT_DOMAIN_LEARNED_GATE,718,0.7353760445682451,0.7353760445682451,0.9944289693593314,0.5278551532033426,0.0,0.4411764705882353,1.0,1.5533635404595227,0.005571030640668524,0.9944289693593314,0.0,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:overall,ORACLE_POLICY,718,0.8231197771587744,0.8231197771587744,0.6949860724233984,0.17688022284122562,0.0,0.9402985074626866,1.0,1.5999879691455368,0.3050139275766017,0.46657381615598886,0.22841225626740946,Qwen/Qwen2.5-7B-Instruct,math,overall,13
math:hard_cluster_main_r2,NO_INTERVENTION,550,0.28,0.28,0.0,0.0,0.54,0.0,0.0,1.4223062784284015,1.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
math:hard_cluster_main_r2,ALWAYS_LOCAL,550,0.7345454545454545,0.7345454545454545,1.0,0.5127272727272727,0.0,0.4581818181818182,1.0,1.5756974416581744,0.0,1.0,0.0,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
math:hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,550,0.4818181818181818,0.4818181818181818,1.0,0.7054545454545454,0.0,0.0,0.0,2.1320952684694734,0.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
math:hard_cluster_main_r2,MATH_TUNED_SIMPLE_RULE,550,0.7672727272727272,0.7672727272727272,0.72,0.23272727272727273,0.0,0.6793478260869565,0.9920634920634921,1.5166805071451448,0.28,0.6690909090909091,0.05090909090909091,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
math:hard_cluster_main_r2,FORMAT_TUNED_SIMPLE_RULE,550,0.7672727272727272,0.7672727272727272,0.72,0.23272727272727273,0.0,0.6363636363636364,1.0,1.4925957638609477,0.28,0.72,0.0,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
math:hard_cluster_main_r2,POOLED_SIMPLE_2FEATURE,550,0.7618181818181818,0.7618181818181818,0.72,0.2381818181818182,0.0,0.717948717948718,0.8888888888888888,1.5706821972233327,0.28,0.5672727272727273,0.15272727272727274,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
math:hard_cluster_main_r2,POOLED_SIMPLE_3FEATURE,550,0.7618181818181818,0.7618181818181818,0.72,0.2381818181818182,0.0,0.717948717948718,0.8888888888888888,1.5706821972233327,0.28,0.5672727272727273,0.15272727272727274,Qwen/Qwen2.5-7B-Instruct,math,hard_cluster_main_r2,13
